Jeu,Titre,Chaîne,Nombre de vues,Date de la mise en ligne,Lien de la vidéo
Dota 2,SHOPIFY REBELLION vs TEAM ASTER - CRAZY TILL THE END - LIMA MAJOR Dota 2,Dota 2 Rapier,23000,il y a 3 jours,https://www.youtube.com/watch?v=1AkJKswCjqY
Dota 2,"The WORST Throw, The GREATEST Comeback, The BIGGEST Grief! - Dota 2 - Grubby",Grubby,83000,il y a 5 jours,https://www.youtube.com/watch?v=JeWMa_IvqNM
Dota 2,"I Target Locked a Streamer ""Pro Brood mother"" vs Top 1 Techies Dota 2",Techies Official,24000,il y a 4 jours,https://www.youtube.com/watch?v=dYkPNtrQyYo
Dota 2,Dota 2 But Warcry Gives Infinite Armor,Baumi,11000,il y a 3 jours,https://www.youtube.com/watch?v=i1ziXyaQwn4
Dota 2,TUNDRA vs TSM - TI CHAMPIONS - LIMA MAJOR 2023 Dota 2 Highlights,DotA Digest,19000,il y a 2 jours,https://www.youtube.com/watch?v=cQLCiyTLcog
Dota 2,TALON ESPORTS vs TSM - THE LIMA MAJOR 2023 DOTA 2,LeagueOfDota,43000,il y a 2 jours,https://www.youtube.com/watch?v=4r5gpEbe9vg
Dota 2,SHOPIFY REBELLION vs HELLRAISERS - LIMA MAJOR Dota 2,Dota 2 Rapier,18000,il y a 2 jours,https://www.youtube.com/watch?v=79CrJ9kVkWo
Dota 2,[FIL] Shopify Rebellion vs BetBoom (BO2) | Lima Major 2023: Group Stage Day 1,KuyaNic,51000,Diffusé il y a 3 jours,https://www.youtube.com/watch?v=IIm9HllCrGQ
Dota 2,Execration vs EG - SEA vs SA - LIMA MAJOR DOTA 2 HIGHLIGHTS 2023,Scorpius PH,39000,il y a 18 heures,https://www.youtube.com/watch?v=JUNEc2Xk90s
Dota 2,"Valve BANS 40,000 Accounts in DOTA - Big Steam Bans!",CultOfMush,41000,il y a 3 jours,https://www.youtube.com/watch?v=PlWuNW9qcZ4
Dota 2,TEAM LIQUID vs GEEK SLATE - CARRY WINDRANGER vs LINA !! THE LIMA MAJOR 2023 DOTA 2,LeagueOfDota,37000,il y a 1 jour,https://www.youtube.com/watch?v=8_ctP-Kf5QI
Dota 2,TALON ESPORTS vs GAIMIN GLADIATORS - CRAZY GAME !!! THE LIMA MAJOR 2023 DOTA 2,LeagueOfDota,32000,il y a 3 jours,https://www.youtube.com/watch?v=neKM_5Fz8Vg
Dota 2,TUNDRA vs PSG LGD - TI11 WINNERS - LIMA MAJOR 2023 Dota 2 Highlights,DotA Digest,21000,il y a 1 jour,https://www.youtube.com/watch?v=ydJbzxZ9vLk
Dota 2,TALON ESPORTS vs TEAM SPIRIT - THE LIMA MAJOR 2023 DOTA 2,LeagueOfDota,37000,il y a 1 jour,https://www.youtube.com/watch?v=Cqln10rGmRw
Dota 2,"EG VS GLADIATORS BO2[GAME 1] PAKAZS, WISPER, MATTHEW VS CCNC - THE LIMA MAJOR 2023 - DOTA 2",CARIES DOTA,11000,il y a 23 heures,https://www.youtube.com/watch?v=yv8pHa0JrI0
Dota 2,TEAM SPIRIT vs TALON - GREAT SERIES! - LIMA MAJOR 2023 Dota 2 Highlights,DotA Digest,25000,il y a 1 jour,https://www.youtube.com/watch?v=zso2lTg7g-I
Dota 2,LIQUID vs GEEK SLATE - INCREDIBLE GAME! - LIMA MAJOR 2023 Dota 2 Highlights,DotA Digest,35000,il y a 1 jour,https://www.youtube.com/watch?v=n6xdP_ngJI0
